Client,OrderId,OrderNumber,ExternalOrderReference,OrderDate,DespatchDate,Country,Source,PackingNotes,DeliveryDate,OrderStatus,NumberOfParcels,TotalItems,TotalWeight,OrderValue,Part,NumberOfParts,CourierServiceType,CourierService,TrackingNumber,Warehouse,Channel,OrderItems,Tags,RequiredDespatchDate
Wild (WLD),7199469,Wild Cosmetics Ltd. (WLD)-7199469,Processing 500 of WSRP1290-EU for Amazon,09/01/2026 12:34:58,,NETHERLANDS,,,19/01/2026 00:00:00,ONBACKORDER,1,3000,147.500,3000.00,1,1,Domestic - Standard,Wild Amazon Pack Off,,Airbox 18,PACK OFF,WCC20:Deodorant Case: Purple  [PF]:500;WCR02:Deodorant Refill: Coconut & Vanilla Dreams [B04]:500;WCR549:Deodorant Refill: Cherry Blossom  [B01]:500;WCR24:Deodorant Refill: Fresh Cotton & Sea Salt  [B05]:500;WCR524:Deodorant Refill: Ocean Mist  [C17]:500;WCR348:Deodorant Refill: Mint & Aloe Vera  [C03]:500;,"PPD - [E],Large Order (30+ units)",12/01/2026 00:00:00
Wild (WLD),7447315,Wild Cosmetics Ltd. (WLD)-7447315,Processing 800 x WSRP2686 EU Purple + Coconut Starters	,30/01/2026 14:41:31,,NETHERLANDS,,,06/02/2026 00:00:00,ONBACKORDER,1,19520,758.400,19520.00,1,1,Domestic - Standard,Wild Pack Off,,Airbox 18,PACK OFF,WCR02:Deodorant Refill: Coconut & Vanilla Dreams [B04]:6400;WCC20:Deodorant Case: Purple  [PF]:5040;WCC20:Deodorant Case: Purple  [PF]:1680;WCP3282-T:UK/ROW Pastel Purple Flatpack TUCK   [0]:6400;,Large Order (30+ units),02/02/2026 00:00:00
Wild (WLD),7447964,Wild Cosmetics Ltd. (WLD)-7447964,Processing 625 x WSRP2673 DE Purple + Coconut Starters ,30/01/2026 15:44:11,,NETHERLANDS,,,06/02/2026 00:00:00,ONBACKORDER,1,15040,230.000,10000.00,1,1,Domestic - Standard,Wild Pack Off,,Airbox 18,PACK OFF,WCR02:Deodorant Refill: Coconut & Vanilla Dreams [B04]:5000;WCC2604:Deo Case: Pastel Purple   [0]:5040;WCPDE623:NEW Deodorant Retail Flatpack: DE Purple Case and Coconut & Vanilla Dreams  [0]:5000;,,02/02/2026 00:00:00
Wild (WLD),7448073,Wild Cosmetics Ltd. (WLD)-7448073,Processing 1000 x WSRP1410V2 GERMAN Deo DE Love Heart / Pink Grapefruit Version 2 ,30/01/2026 15:52:09,,NETHERLANDS,,,06/02/2026 00:00:00,ONBACKORDER,1,25918,1006.310,25918.00,1,1,Domestic - Standard,Wild Pack Off,,Airbox 18,PACK OFF,WCC1285:Deodorant Case: Red Love Heart  [PF]:4600;WCC1285:Deodorant Case: Red Love Heart  [PF]:3400;WCR761:Deodorant Refill: Pink Grapefruit & Lime  [C13]:9918;WCP1411V2-T:Deo DE Love Heart / Pink Grapefruit v2 Flatpack TUCK:8000;,PPD - [E],02/02/2026 00:00:00
Wild (WLD),7448140,Wild Cosmetics Ltd. (WLD)-7448140,Processing 750 x WSRPNO332V2 EU Aqua + Cotton Starters VERSION 2,30/01/2026 15:58:03,,NETHERLANDS,,,06/02/2026 00:00:00,ONBACKORDER,1,18720,746.400,18720.00,1,1,Domestic - Standard,Wild Pack Off,,Airbox 18,PACK OFF,WCC06:Deodorant Case: Aqua  [F08]:3360;WCC06:Deodorant Case: Aqua  [F08]:3360;WCP1714:Deodorant Retail Flatpack: SCANDI Aqua Case + Fresh Cotton  [0]:3500;WCP1714:Deodorant Retail Flatpack: SCANDI Aqua Case + Fresh Cotton  [0]:2500;WCR24:Deodorant Refill: Fresh Cotton & Sea Salt  [B05]:6000;,,02/02/2026 00:00:00
Wild (WLD),7448291,Wild Cosmetics Ltd. (WLD)-7448291,Processing 500 x WSRP2098 EU Sunflower + Vanilla Bean Starters,30/01/2026 16:10:45,,NETHERLANDS,,,06/02/2026 00:00:00,ONBACKORDER,1,14320,482.400,14320.00,1,1,Domestic - Standard,Wild Pack Off,,Airbox 18,PACK OFF,WCC1989:Deodorant Case: Sunflower  [PF]:4320;WCP1992-T:Deo UK Sunflower / Vanilla Bean & Buttercream Flatpack TUCK  [0]:6000;WCR1103:Deodorant Refill: Vanilla Bean & Buttercream  [0]:4000;,,02/02/2026 00:00:00
Wild (WLD),7448296,Wild Cosmetics Ltd. (WLD)-7448296,Processing 75 x WSRP2607 DE Pink & Cherry Blossom,30/01/2026 16:13:59,,NETHERLANDS,,,06/02/2026 00:00:00,ONBACKORDER,1,2847,116.715,2847.00,1,1,Domestic - Standard,Wild Pack Off,,Airbox 18,PACK OFF,WCC2331:Deodorant Case: Pastel Pink  [PF]:600;WCR549:Deodorant Refill: Cherry Blossom  [B01]:1647;WCP797:Deodorant Retail Flatpack: DE Pink Case and Cherry Blossom  [0]:600;,,02/02/2026 00:00:00
Wild (WLD),7448319,Wild Cosmetics Ltd. (WLD)-7448319,Processing 125 x WSRPNO336 SCANDI Fresh Cotton Refills,30/01/2026 16:17:55,,NETHERLANDS,,,06/02/2026 00:00:00,ONBACKORDER,1,2000,46.000,2000.00,1,1,Domestic - Standard,Wild Pack Off,,Airbox 18,PACK OFF,WCR24:Deodorant Refill: Fresh Cotton & Sea Salt  [B05]:1000;WCP1721:Deodorant Retail Flatpack: SCANDI Fresh Cotton  [0]:1000;,,02/02/2026 00:00:00
Wild (WLD),7448360,Wild Cosmetics Ltd. (WLD)-7448360,Processing 500 x WSRPDE7942V2 GERMAN Cherry Blossom Refill VERSION 2,30/01/2026 16:20:11,,NETHERLANDS,,,06/02/2026 00:00:00,ONBACKORDER,1,8000,180.000,8000.00,1,1,Domestic - Standard,Wild Pack Off,,Airbox 18,PACK OFF,WCP796V2:Deo DE Cherry Blossom v2 Flatpack:4000;WCR549:Deodorant Refill: Cherry Blossom  [B01]:4000;,PPD - [E],02/02/2026 00:00:00
Wild (WLD),7448364,Wild Cosmetics Ltd. (WLD)-7448364,Processing 1250 x WSRPDE318V2 GERMAN Coconut & Vanilla Refill VERSION 2,30/01/2026 16:21:35,,NETHERLANDS,,,06/02/2026 00:00:00,ONBACKORDER,1,20785,485.325,20785.00,1,1,Domestic - Standard,Wild Pack Off,,Airbox 18,PACK OFF,WCR02:Deodorant Refill: Coconut & Vanilla Dreams [B04]:10785;WCPDE630V2:Deo DE Coconut v2 Flatpack:10000;,PPD - [E],02/02/2026 00:00:00
