product/rec_name,from_location/rec_name,to_location/rec_name,quantity,uom/rec_name,planned_date,effective_date,state,tpl_sku
[WCROA3777] AP Roll On Island Paradise,Airbox UK - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCROA608] Roll On AP: Amber & Oud,Airbox UK - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCROA24] AP Roll On: Cotton & Seasalt,Airbox UK - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3776] Deo Refill: Enchanted Bloom,Airbox UK - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR761] Pink Grapefruit & Lime Deo Refill,Airbox UK - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR794] Honey & Cactus Flower - initial_delivery,Airbox UK - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC3773] Deo Case: Disney Princess,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3776] Deo Refill: Enchanted Bloom,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3777] Deo Refill: Island Paradise,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[W_ENGRAVED_DEO] Personalised Case Deodorant,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WSRP2903-US] AMZ Black & Honey Starter,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1823-US] AMZ US Men Refill Trio,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCR24] Fresh Cotton & Sea Salt Deodorant Refill,Airbox (EU) - Storage Zone,Reserved Inventory,2.0,u,2026-06-18,,assigned,
[WCLRSPF619V2] Original SPF Lip Balm Refill V2,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[W_ENGRAVED_DEO] Personalised Case Deodorant,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
"[WSRP3149-US] AMZ US Mini 3: Cot, Coco, Cherry",FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCROA24] AP Roll On: Cotton & Seasalt,Airbox UK - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
