SKU,Item Name,Order URL,Order Number,Order Line Status,Preferred Origin Facility,Brand,Custom Reference,Orderline Number,Priority,Date,Channel,Quantity
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/82ddba8b-4acd-4cc2-80cb-89b19379729b"" target=""_blank"" style=""color:  #1463FF"">WCR24</a>",Fresh Cotton & Sea Salt Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/9ea0a0d6-982f-47ce-923f-cc638b6550c2"" target=""_blank"" style=""color:  #1463FF"">FF5154293</a>",FF5154293,backordered,,Wild,,1,Medium,2026-06-17,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/82ddba8b-4acd-4cc2-80cb-89b19379729b"" target=""_blank"" style=""color:  #1463FF"">WCR24</a>",Fresh Cotton & Sea Salt Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/9ea0a0d6-982f-47ce-923f-cc638b6550c2"" target=""_blank"" style=""color:  #1463FF"">FF5154293</a>",FF5154293,backordered,,Wild,,3,Medium,2026-06-17,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/a30b4e50-b53f-40bd-a4c9-256af4016d1e"" target=""_blank"" style=""color:  #1463FF"">WCR1179</a>",Coconut & Vanilla (TARGET) Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/803a7417-70cb-40b6-a0b6-944e5467454e"" target=""_blank"" style=""color:  #1463FF"">FF5159276</a>",FF5159276,on_hold,ATLs001,Wild,US884953,4,Medium,2026-06-17,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/ccfdb407-5048-48cd-a27b-4ca98e4d9937"" target=""_blank"" style=""color:  #1463FF"">WCR3777</a>",Deo Refill: Island Paradise,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/803a7417-70cb-40b6-a0b6-944e5467454e"" target=""_blank"" style=""color:  #1463FF"">FF5159276</a>",FF5159276,on_hold,ATLs001,Wild,US884953,3,Medium,2026-06-17,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/43eb8922-f2c2-445a-b412-3e91395e0616"" target=""_blank"" style=""color:  #1463FF"">W_ENGRAVED_DEO</a>",W_ENGRAVED_DEO,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/803a7417-70cb-40b6-a0b6-944e5467454e"" target=""_blank"" style=""color:  #1463FF"">FF5159276</a>",FF5159276,on_hold,ATLs001,,US884953,1,Medium,2026-06-17,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/de2a753a-e805-4d20-814b-61e4eda8708d"" target=""_blank"" style=""color:  #1463FF"">WCR1103</a>",Vanilla Buttercream Deo Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/803a7417-70cb-40b6-a0b6-944e5467454e"" target=""_blank"" style=""color:  #1463FF"">FF5159276</a>",FF5159276,on_hold,ATLs001,Wild,US884953,5,Medium,2026-06-17,D2C,2
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/6121329a-7399-416e-91c4-3009375238d7"" target=""_blank"" style=""color:  #1463FF"">WCC2556</a>",Deo Case: Chrome,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/803a7417-70cb-40b6-a0b6-944e5467454e"" target=""_blank"" style=""color:  #1463FF"">FF5159276</a>",FF5159276,on_hold,ATLs001,Wild,US884953,2,Medium,2026-06-17,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/aa62ff26-9897-4af1-b2f3-e8234168ec75"" target=""_blank"" style=""color:  #1463FF"">WCR02</a>",Coconut & Vanilla Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/ecaf55d6-ca37-4691-9877-a00eca3a88a2"" target=""_blank"" style=""color:  #1463FF"">FF5159403</a>",FF5159403,backordered,ATLs001,Wild,#5932473,1,Medium,2026-06-17,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/aa62ff26-9897-4af1-b2f3-e8234168ec75"" target=""_blank"" style=""color:  #1463FF"">WCR02</a>",Coconut & Vanilla Deodorant Refill,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/ecaf55d6-ca37-4691-9877-a00eca3a88a2"" target=""_blank"" style=""color:  #1463FF"">FF5159403</a>",FF5159403,backordered,ATLs001,Wild,#5932473,3,Medium,2026-06-17,D2C,1
"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/items/2762b5c0-6f1d-4d59-a1d2-908ebec83db4"" target=""_blank"" style=""color:  #1463FF"">WCRO549</a>",Roll On Refill: Cherry Blossom,"<a href=""https://shipper.stord.com/distribution_networks/a5d95507-781a-48fa-8b25-300938c92524/orders/e65191aa-f2d4-4fd3-afb0-b45a71ebe647"" target=""_blank"" style=""color:  #1463FF"">FF5159465</a>",FF5159465,on_hold,ATLs001,Wild,US884930,2,Medium,2026-06-17,D2C,3
